Adresse;Name;Größe
"$01FB4";"PWG Offset         Pedalwertgeber";"1x1"
"$01FB2";"PWG Steigung       Pedalwertgeber";"1x1"
"$01FB0";"PWG Vorgabewert    Pedalwertgeber";"1x1"
"$02056";"UREF Rampensteigung Referenzspannung";"1x1"
"$0204E";"UREF Geberkennwort Referenzspannung";"1x1"
"$02048";"UREF Kanal         Referenzspannung";"1x1"
"$0245A";"UREF - Liniarisierung , nicht aktiv";"2x1"
"$0204A";"UREF oberer  SRC   Referenzspannung";"1x1"
"$0204C";"UREF unterer SRC   Referenzspannung";"1x1"
"$02054";"UREF Offset        Referenzspannung";"1x1"
"$02052";"UREF Steigung      Referenzspannung";"1x1"
"$02050";"UREF Vorgabewert   Referenzspannung";"1x1"
"$02026";"STF Rampensteigung Saugrohrtemperaturfuehler";"1x1"
"$0201E";"STF Geberkennwort  Saugrohrtemperaturfuehler";"1x1"
"$02018";"STF Kanal          Saugrohrtemperaturfuehler";"1x1"
"$0230E";"STF - Linearisierung  T_S = f(U)";"18x1"
"$0201A";"STF oberer  SRC    Saugrohrtemperaturfuehler";"1x1"
"$0201C";"STF unterer SRC    Saugrohrtemperaturfuehler";"1x1"
"$02024";"STF Offset         Saugrohrtemperaturfuehler";"1x1"
"$02022";"STF Steigung       Saugrohrtemperaturfuehler";"1x1"
"$02020";"STF Vorgabewert    Saugrohrtemperaturfuehler";"1x1"
"$02432";"UBATT - Liniarisierung , nicht aktiv";"2x1"
"$02192";"WTF N-Schwelle fuer WTF-Plausibilitaet-Test";"1x1"
"$02196";"WTF T_W-Schwelle fuer WTF-Plausibilitaet-Test";"1x1"
"$02194";"WTF Wartezeit fuer WTF-Plausibilitaet-Test";"1x1"
"$02198";"WTF Schalter 0: bei WTF-Defekt --> KTF-Ersatz";"1x1"
"$02190";"WTF Rampensteigung  Wassertemperaturfuehler";"1x1"
"$02188";"WTF Geberkennwort  Wassertemperaturfuehler";"1x1"
"$02182";"WTF Kanal           Wassertemperaturfuehler";"1x1"
"$021CA";"WTF - Linearisierung     T_W = f(U_WTF)";"18x1"
"$02184";"WTF oberer  SRC     Wassertemperaturfuehler";"1x1"
"$02186";"WTF unterer SRC    Wassertemperaturfuehler";"1x1"
"$0218E";"WTF Offset          Wassertemperaturfuehler";"1x1"
"$0218C";"WTF Steigung        Wassertemperaturfuehler";"1x1"
"$0218A";"WTF Vorgabewert    Wassertemperaturfuehler";"1x1"
"$029F6";"Zeit fuer Abschaltung nach Start = f(T_W)";"10x1"
"$02552";"Fensterbreite Kleinsignal bei neg.Vorsteuerung";"1x1"
"$0254A";"Fensterbreite Kleinsignal bei pos. Vorst.";"1x1"
"$02550";"ARF Gedaechtnisfaktor neg. Vorsteuern";"1x1"
"$02548";"ARF Gedaechtnisfaktor pos. Vorsteuerung";"1x1"
"$02556";"ARF Verstaerk. Gross-S. neg. Vorsteuern";"1x1"
"$02558";"ARF Normierungsexponent  warmer Motor";"1x1"
"$0254E";"ARF Verstaerk. Gross-S. pos. Vorsteuern";"1x1"
"$02554";"ARF Verstaerk. Klein-S. neg. Vorsteuern";"1x1"
"$0254C";"ARF Verstaerk. Klein-S. pos. Vorsteuern";"1x1"
"$02A46";"ARF obere Begrenzung PI-Reglerausgang";"1x1"
"$02A48";"ARF untere Begrenzung PI-Reglerausgang";"1x1"
"$02A3C";"ARF Fenster Kleinsignal I-Regler";"1x1"
"$02A40";"ARF I-Verstaerkung negatives Grossignal";"1x1"
"$02A44";"ARF Normierungsexponent I-Regler";"1x1"
"$02A42";"ARF I-Verstaerkung positives Grossignal";"1x1"
"$02A3E";"ARF I-Verstaerkung Kleinsignal";"1x1"
"$0253C";"MLB Anfangswert der HFM-Einschaltkorrektur";"1x1"
"$0253E";"MLB Zeitkonstante fuer die HFM-Einschaltkorrektur";"1x1"
"$02A5A";"MLB Luftmassen-Korrektur-KF  FAKT = f(T_L, P_ATM)";"2x2"
"$02B10";"MLB Luftmesser-Liniarisierungs-KL  M_Lt = f(TV_LM)";"13x1"
"$02534";"MLB Normierungskonstante zur Luftmengenberechnung";"1x1"
"$02538";"MLB untere M_L-Schwelle  Plausibilitaet M_L = f(N)";"1x1"
"$02536";"MLB obere N-Schwelle f. Plausibilitaet M_L = f(N)";"1x1"
"$0253A";"MLB M_L-Vorgabewert bei verletzter Plausibilitaet";"1x1"
"$02988";"Hysterese zu obere Wunschmengenschwelle fuer Abschaltung";"1x1"
"$029B6";"obere Wunschmengenschwelle fuer Abschaltung";"20x1"
"$0295C";"Wassertemperatur Korr. fuer ARF = arwTWKORKF * arwMEKORKL";"5x1"
"$0259C";"ARF Sollwert-Grundkennfeld   M_L = f(N, M_E)";"13x16"
"$02DA2";"Umrechnungskennlinie M_L-Abgleich-Tastverhaeltnis";"5x1"
"$027DE";"Hoehenkorrektur fuer ARF = arwPAKORKL * arwPAKORKF";"8x8"
"$027AE";"ARF additive Sollwert-Korrektur  dM_L = f(P_ATM)";"4x1"
"$02A32";"ARF Fenster Kleinsignal P-Regler";"1x1"
"$02A36";"ARF P-Verstaerkung negatives Grosssignal";"1x1"
"$02A3A";"ARF Normierungsexponent P-Regler";"1x1"
"$02A38";"ARF P-Verstaerkung positives Grosssignal";"1x1"
"$02A34";"ARF P-Verstaerkung Kleinsignal";"1x1"
"$02B72";"Schwelle fuer Regelung ausschalten";"10x1"
"$02B9E";"Schwelle fuer Regelung einschalten";"10x1"
"$02968";"ARF max. zulaessige negative Regelabweichung RA";"1x1"
"$02966";"ARF max. zulaessige positive Regelabweichung RA";"1x1"
"$0296E";"ARF obere M_E-Schwelle zum Ruecksetzen der RA";"1x1"
"$0296A";"ARF untere N-Schwelle zum Ruecksetzen der RA";"1x1"
"$0296C";"ARF obere N-Schwelle zum Ruecksetzen der RA";"1x1"
"$02970";"ARF erlaubte Maximalzeit zum Ruecksetzen der RA";"1x1"
"$02980";"ARF VGW I-Anteil bei Abschaltbedingungen";"1x1"
"$02972";"ARF obere N-Schwelle zur Abschaltung";"1x1"
"$02974";"ARF untere N-Schwelle zur Abschaltung";"1x1"
"$02986";"ARF N-Schwelle zum Einschalten";"1x1"
"$02976";"ARF N-Schwelle zur zeitabhaeng. Abschaltung im LL";"1x1"
"$02978";"ARF unter N-Schwelle zur Sofortabschaltung";"1x1"
"$02984";"ARF untere M_E-Schwelle zur Definition Schubbetrieb";"1x1"
"$02982";"ARF obere N-Schwelle zur Definition Schubbetrieb";"1x1"
"$0297A";"ARF Zeitschwelle zur Abschaltung im Leerlauf";"1x1"
"$0297E";"ARF TV-Vorgabewert bei Abschaltbedingungen";"1x1"
"$0297C";"ARF U_BATT-Schwelle zur Abschaltung";"1x1"
"$02DD0";"Atmosphaerendruck Korr. der ARF-Steuerung";"4x1"
"$02BF4";"Grundkennfeld Abgasrueckfuehrung Steuerung";"13x16"
"$02DBA";"Wassertemperatur Korr. fuer ARF-Steuerung";"5x1"
"$02542";"ARF untere Grenze additiver Sollwert-Abgleich";"1x1"
"$02540";"ARF obere Grenze additiver Sollwert-Abgleich";"1x1"
"$02546";"ARF untere M_L-Sollwertbegrenzung";"1x1"
"$02544";"ARF obere M_L-Sollwertbegrenzung";"1x1"
"$02872";"ARF multipl. Sollwert-Korrektur  FAKT = f(N, T_L)";"4x2"
"$028AE";"ARF additive Sollwert-Korrektur  dM_L = f(N, T_W)";"8x10"
"$06EEA";"Abgleichwertmaximum";"1x1"
"$06E44";"ATF1 - Linearisierung  T_X = f(U)";"20x1"
"$06E98";"ATF2 - Linearisierung  T_X = f(U)";"20x1"
"$06ED4";"1. Faktor fuer gewichtete Addition";"1x1"
"$06ED6";"2. Faktor fuer gewichtete Addition";"1x1"
"$06ED2";"Wartezeit auf AD-Wandlung";"1x1"
"$06ED8";"Temperaturfenster fuer bdoATF1,2";"1x1"
"$06EE0";"Saugrohrtemperatur zur Wassertemperatur";"1x1"
"$06EDA";"Abgastemperatur zur Wassertemperatur";"1x1"
"$06EDE";"Wassertemperaturgrenze oben";"1x1"
"$06EDC";"Wassertemperaturgrenze unten";"1x1"
"$06ED0";"Startschwelle der BDP-Ansteurung";"1x1"
"$06ECE";"Unter Anspringtemperatur fuer BDP-Ansteuerung";"1x1"
"$06EE4";"Abgastemperaturdifferenzschwelle";"1x1"
"$06F48";"BDP-Mengen Kennfeld Dosierung";"14x10"
"$06EEE";"Abgastemp. vor KAT fallend Schwelle";"1x1"
"$06EEC";"Abgastemp. vor KAT steigend Schwelle";"1x1"
"$06EF2";"Abgastemp. nach KAT fallend Schwelle";"1x1"
"$06EF0";"Abgastemp. nach KAT steigend Schwelle";"1x1"
"$06EFC";"GF Temp. vor KAT fallende Temp. groesser Schwelle";"1x1"
"$06EFE";"GF Temp. vor KAT fallende Temp. kleiner Schwelle";"1x1"
"$06EF8";"GF Temp. vor KAT steigende Temp. groesser Schwelle";"1x1"
"$06EFA";"GF Temp. vor KAT steigende Temp. kleiner Schwelle";"1x1"
"$06F04";"GF Temp. nach KAT fallende Temp. groesser Schwelle";"1x1"
"$06F06";"GF Temp. nach KAT fallende Temp. kleiner Schwelle";"1x1"
"$06F00";"GF Temp. nach KAT steigende Temp. groesser Schwelle";"1x1"
"$06F02";"GF Temp. nach KAT steigende Temp. kleiner Schwelle";"1x1"
"$06F0E";"GF Tempdifferez fallend groesser Schwelle";"1x1"
"$06F0C";"GF Tempdifferez fallend kleiner Schwelle";"1x1"
"$06F0A";"GF Tempdifferez steigend groesser Schwelle";"1x1"
"$06F08";"GF Tempdifferez steigend kleiner Schwelle";"1x1"
"$06ECC";"Faktor fuer Highpegeldauer zur Ansteuerung der BDP";"1x1"
"$06EE8";"Startschwelle der KAT-Ueberwachung";"1x1"
"$06EE6";"Unter Anspringtemperatur fuer KAT-Ueberwachung";"1x1"
"$0707C";"BDP-Mengen Korrektur - Kennfeld Dosierung";"5x5"
"$06ECA";"Maximale Periodendauer der BDP-Ansteuerung";"1x1"
"$06EC8";"Minimale Periodendauer der BDP-Ansteuerung";"1x1"
"$06DF0";"Prellzeit fuer Katalysatordefekte abgel. von Saugrohrtemp.";"20x1"
"$06EE2";"Maximum der Prellzeit -> Abschaltung der Ueberwachung";"1x1"
"$070E6";"Solldifferenztemperatur fuer KAT-Ueberwachung";"14x10"
"$06DB2";"Korrektur fuer Solldifferenztemperatur";"3x3"
"$06EF6";"Abgastemperaturdifferenz fallend Schwelle";"1x1"
"$06EF4";"Abgastemperaturdifferenz steigend Schwelle";"1x1"
"$072DC";"Arbitration Byte 0";"1x1"
"$072DD";"Arbitration Byte 1";"1x1"
"$072DE";"Arbitration Byte 2";"1x1"
"$072DF";"Arbitration Byte 3";"1x1"
"$072D8";"Baustein Objektadresse";"1x1"
"$072D0";"Ersatzdatenbyte 0";"1x1"
"$072D1";"Ersatzdatenbyte 1";"1x1"
"$072D2";"Ersatzdatenbyte 2";"1x1"
"$072D3";"Ersatzdatenbyte 3";"1x1"
"$072D4";"Ersatzdatenbyte 4";"1x1"
"$072D5";"Ersatzdatenbyte 5";"1x1"
"$072D6";"Ersatzdatenbyte 6";"1x1"
"$072D7";"Ersatzdatenbyte 7";"1x1"
"$072D9";"Ersatzdatenbyte 0";"1x1"
"$072CF";"Mehrfachnutzung Sendeobjekt";"1x1"
"$072DA";"Msg. Control Byte 0";"1x1"
"$072DB";"Msg. Control Byte 1";"1x1"
"$072E0";"Message Configuration";"1x1"
"$072CD";"Anzahl Segmente";"1x1"
"$072CC";"Sendeperiode";"1x1"
"$072CE";"Empfangstimeout";"1x1"
"$072F2";"Arbitration Byte 0";"1x1"
"$072F3";"Arbitration Byte 1";"1x1"
"$072F4";"Arbitration Byte 2";"1x1"
"$072F5";"Arbitration Byte 3";"1x1"
"$072EE";"Baustein Objektadresse";"1x1"
"$072E6";"Ersatzdatenbyte 0";"1x1"
"$072E7";"Ersatzdatenbyte 1";"1x1"
"$072E8";"Ersatzdatenbyte 2";"1x1"
"$072E9";"Ersatzdatenbyte 3";"1x1"
"$072EA";"Ersatzdatenbyte 4";"1x1"
"$072EB";"Ersatzdatenbyte 5";"1x1"
"$072EC";"Ersatzdatenbyte 6";"1x1"
"$072ED";"Ersatzdatenbyte 7";"1x1"
"$072EF";"Ersatzdatenbyte 0";"1x1"
"$072E5";"Ersatzdaten vorhanden";"1x1"
"$072F0";"Msg. Control Byte 0";"1x1"
"$072F1";"Msg. Control Byte 1";"1x1"
"$072F6";"Message Configuration";"1x1"
"$072E3";"Anzahl Segmente";"1x1"
"$072E2";"Empfangsperiode";"1x1"
"$072E4";"Empfangstimeout";"1x1"
"$07308";"Arbitration Byte 0";"1x1"
"$07309";"Arbitration Byte 1";"1x1"
"$0730A";"Arbitration Byte 2";"1x1"
"$0730B";"Arbitration Byte 3";"1x1"
"$07304";"Baustein Objektadresse";"1x1"
"$072FC";"Ersatzdatenbyte 0";"1x1"
"$072FD";"Ersatzdatenbyte 1";"1x1"
"$072FE";"Ersatzdatenbyte 2";"1x1"
"$072FF";"Ersatzdatenbyte 3";"1x1"
"$07300";"Ersatzdatenbyte 4";"1x1"
"$07301";"Ersatzdatenbyte 5";"1x1"
"$07302";"Ersatzdatenbyte 6";"1x1"
"$07303";"Ersatzdatenbyte 7";"1x1"
"$07305";"Ersatzdatenbyte 0";"1x1"
"$072FB";"Ersatzdaten vorhanden";"1x1"
"$07306";"Msg. Control Byte 0";"1x1"
"$07307";"Msg. Control Byte 1";"1x1"
"$0730C";"Message Configuration";"1x1"
"$072F9";"Anzahl Segmente";"1x1"
"$072F8";"Empfangsperiode";"1x1"
"$072FA";"Empfangstimeout";"1x1"
"$0731E";"Arbitration Byte 0";"1x1"
"$0731F";"Arbitration Byte 1";"1x1"
"$07320";"Arbitration Byte 2";"1x1"
"$07321";"Arbitration Byte 3";"1x1"
"$0731A";"Baustein Objektadresse";"1x1"
"$07312";"Ersatzdatenbyte 0";"1x1"
"$07313";"Ersatzdatenbyte 1";"1x1"
"$07314";"Ersatzdatenbyte 2";"1x1"
"$07315";"Ersatzdatenbyte 3";"1x1"
"$07316";"Ersatzdatenbyte 4";"1x1"
"$07317";"Ersatzdatenbyte 5";"1x1"
"$07318";"Ersatzdatenbyte 6";"1x1"
"$07319";"Ersatzdatenbyte 7";"1x1"
"$0731B";"Ersatzdatenbyte 0";"1x1"
"$07311";"Ersatzdaten vorhanden";"1x1"
"$0731C";"Msg. Control Byte 0";"1x1"
"$0731D";"Msg. Control Byte 1";"1x1"
"$07322";"Message Configuration";"1x1"
"$0730F";"Anzahl Segmente";"1x1"
"$0730E";"Empfangsperiode";"1x1"
"$07310";"Empfangstimeout";"1x1"
"$07334";"Arbitration Byte 0";"1x1"
"$07335";"Arbitration Byte 1";"1x1"
"$07336";"Arbitration Byte 2";"1x1"
"$07337";"Arbitration Byte 3";"1x1"
"$07330";"Baustein Objektadresse";"1x1"
"$07328";"Ersatzdatenbyte 0";"1x1"
"$07329";"Ersatzdatenbyte 1";"1x1"
"$0732A";"Ersatzdatenbyte 2";"1x1"
"$0732B";"Ersatzdatenbyte 3";"1x1"
"$0732C";"Ersatzdatenbyte 4";"1x1"
"$0732D";"Ersatzdatenbyte 5";"1x1"
"$0732E";"Ersatzdatenbyte 6";"1x1"
"$0732F";"Ersatzdatenbyte 7";"1x1"
"$07331";"Ersatzdatenbyte 0";"1x1"
"$07327";"Mehrfachnutzung Sendeobjekt";"1x1"
"$07332";"Msg. Control Byte 0";"1x1"
"$07333";"Msg. Control Byte 1";"1x1"
"$07338";"Message Configuration";"1x1"
"$07325";"Anzahl Segmente";"1x1"
"$07324";"Sendeperiode";"1x1"
"$07326";"Empfangstimeout";"1x1"
"$072B4";"CAN Bestückung";"1x1"
"$072B6";"Mindestzeit zwischen zwei Initialisierungen";"1x1"
"$072C6";"Bus Configuration";"1x1"
"$072C7";"Bittiming Register 0";"1x1"
"$072C8";"Bittiming Register 1";"1x1"
"$072C5";"Clockout Register";"1x1"
"$072B8";"Control Register";"1x1"
"$072BA";"CPU Interface Register";"1x1"
"$072C1";"Message 15 Mask";"1x1"
"$072C2";"Message 15 Mask";"1x1"
"$072C3";"Message 15 Mask";"1x1"
"$072C4";"Message 15 Mask";"1x1"
"$072BD";"Global Mask Extended";"1x1"
"$072BE";"Global Mask Extended";"1x1"
"$072BF";"Global Mask Extended";"1x1"
"$072C0";"Global Mask Extended";"1x1"
"$072BB";"Global Mask Standard";"1x1"
"$072BC";"Global Mask Standard";"1x1"
"$072C9";"P1 Configuration";"1x1"
"$072CA";"P1 Configuration";"1x1"
"$072B9";"Status Register";"1x1"
"$01552";"EEPROM Ersatzwert additiv. ARF-Luftmengen-Abgleich";"1x1"
"$01556";"EEPROM Ersatzwert Checksummen-Abgleich";"1x1"
"$01554";"EEPROM Ersatzwert Saugrohr-/Ladedruck-Abgleich";"1x1"
"$01550";"EEPROM Ersatzwert Leerlaufdrehzahl-Abgleich";"1x1"
"$0154A";"EEPROM Ersatzwert Startmengen-Abgleich";"1x1"
"$01548";"EEPROM Ersatzwert Uist-Faktor CC212-Abgleich";"1x1"
"$01546";"EEPROM Ersatzwert Uist-Offset CC212-Abgleich";"1x1"
"$0154E";"Abgleichwert Begrenzungsmenge (Ersatzwert) add";"1x1"
"$0154C";"Abgleichwert Begrenzungsmenge (Ersatzwert) mult";"1x1"
"$01512";"ARF Mengeneingang (1:aktuelle/2:wunsch/3:wunsch roh)";"1x1"
"$01527";"Umschalten Vor- NachKATtemperatur";"1x1"
"$01540";"BDP_ Modul (0:no / 1:yes)";"1x1"
"$0152F";"Rauchbegrenzung mit Luftmasse/Saugrohrdruck (0/1)";"1x1"
"$01542";"Motorschutz per Oeltemperatur (0:no / 1:yes)";"1x1"
"$01530";"Saugrohrdruckberechnung mit anmADF/ldmP_Llin (0/1)";"1x1"
"$01531";"Saugrohrdruckberechnung mit anmLTF/anmSTF (0/1)";"1x1"
"$01529";"Mengenabschaltung durch Ecomatic einschalten";"1x1"
"$01520";"ARF aus bei Fehler (0:ARSKO,1:LDSpR,2:LDSnR,3:LDSKO,4:LDF,5:LMM,6:NBF,7:SBR)";"1x1"
"$01521";"ARF aus bei Fehler (0:DZG,1:SEK)";"1x1"
"$01522";"dummy";"1x1"
